Year,Month,Day,Hour,Minute,Second,HYY_META.T168
2016,1,10,2,0,0,-18.226334
2016,1,10,2,30,0,-18.245333
2016,1,10,3,0,0,-18.523
2016,1,10,3,30,0,-18.689667
2016,1,10,4,0,0,-18.864666
2016,1,10,4,30,0,-19.249332
2016,1,10,5,0,0,-19.576334
2016,1,10,5,30,0,-19.656334
2016,1,10,6,0,0,-19.665
2016,1,10,6,30,0,-19.797667
2016,1,10,7,0,0,-19.734667
2016,1,10,7,30,0,-19.601667
2016,1,10,8,0,0,-19.620333
2016,1,10,8,30,0,-19.712667
2016,1,10,9,0,0,-19.904667
2016,1,10,9,30,0,-20.199667
2016,1,10,10,0,0,-20.062
2016,1,10,10,30,0,-19.767666
2016,1,10,11,0,0,-19.646334
2016,1,10,11,30,0,-19.291
2016,1,10,12,0,0,-18.875668
2016,1,10,12,30,0,-18.757668
2016,1,10,13,0,0,-18.808332
2016,1,10,13,30,0,-19.084
2016,1,10,14,0,0,-19.187334
2016,1,10,14,30,0,-19.469334
2016,1,10,15,0,0,-19.207666
2016,1,10,15,30,0,-19.073334
2016,1,10,16,0,0,-19.008
2016,1,10,16,30,0,-18.974667
2016,1,10,17,0,0,-18.978666
2016,1,10,17,30,0,-18.866
2016,1,10,18,0,0,-18.722334
2016,1,10,18,30,0,-18.754
2016,1,10,19,0,0,-18.754333
2016,1,10,19,30,0,-18.775
2016,1,10,20,0,0,-18.765333
2016,1,10,20,30,0,-18.403
2016,1,10,21,0,0,-18.135666
2016,1,10,21,30,0,-18.194334
2016,1,10,22,0,0,-18.053
2016,1,10,22,30,0,-17.878666
2016,1,10,23,0,0,-17.569334
2016,1,10,23,30,0,-17.445333
2016,1,11,0,0,0,-17.027666
2016,1,11,0,30,0,-16.673666
2016,1,11,1,0,0,-16.402
2016,1,11,1,30,0,-16.085
2016,1,11,2,0,0,-16.072666
2016,1,11,2,30,0,-15.918333
2016,1,11,3,0,0,-15.589334
2016,1,11,3,30,0,-15.243
2016,1,11,4,0,0,-14.805
2016,1,11,4,30,0,-14.4383335
2016,1,11,5,0,0,-14.296667
2016,1,11,5,30,0,-14.158334
2016,1,11,6,0,0,-14.000334
2016,1,11,6,30,0,-13.859333
2016,1,11,7,0,0,-13.645667
2016,1,11,7,30,0,-13.378667
