Datenum RHTd Global Event NonEvent
730188 65.195 NaN 1 0
730191 64.6231818181818 NaN 1 0
730192 54.8018181818182 NaN 1 0
730199 84.5879166666667 NaN 0 1
730201 93.1783333333333 NaN 0 1
730202 93.8414285714286 NaN 0 1
730205 90.4191304347826 NaN 0 1
730209 45.4780769230769 NaN 1 0
730211 81.4753846153846 106.981538461538 0 1
730212 66.8539130434783 234.722307692308 1 0
730214 43.8003846153846 323.803076923077 1 0
730215 53.1415384615385 338.103461538462 1 0
730216 53.8362962962963 263.917037037037 1 0
730218 62.5874074074074 272.780740740741 1 0
730220 49.8153571428571 321.133928571429 1 0
730222 42.4696428571429 371.861071428571 1 0
730223 40.7446428571429 251.543214285714 1 0
730224 63.6907142857143 220.6125 1 0
730225 97.4635714285714 46.7075 0 1
730226 85.7758620689655 157.761379310345 0 1
730227 96.8137931034483 46.3755172413793 0 1
730228 71.4131034482759 316.323793103448 0 1
730229 46.8603448275862 387.038620689655 1 0
730234 81.2866666666667 98.4096666666667 0 1
730235 58.557 305.353666666667 0 1
730236 67.8145161290323 176.252903225806 0 1
730239 54.4690322580645 221.514193548387 1 0
730241 52.4541935483871 300.076129032258 1 0
730247 48.6413793103448 345.9121875 1 0
730249 46.640303030303 245.235151515152 0 1
730258 45.6814285714286 348.488 1 0
730259 46.1782857142857 354.282571428571 1 0
730269 77.3491666666667 93.4083333333333 0 1
730270 69.5952777777778 273.075277777778 1 0
730274 51.5794594594595 373.851891891892 1 0
730275 65.8805555555555 349.575675675676 0 1
730276 NaN NaN 0 1
730278 88.0522727272727 114.785405405405 0 1
730279 71.5683783783784 254.871142857143 0 1
730281 54.9267567567568 378.527027027027 0 1
730282 43.5637837837838 425.69972972973 0 1
730284 41.3071052631579 415.591842105263 0 1
730291 58.2697368421053 296.542368421053 0 1
730292 67.2047368421053 288.793947368421 0 1
730294 63.5765789473684 262.532105263158 0 1
730295 86.6867567567568 147.261315789474 0 1
730296 63.4678947368421 377.22552631579 1 0
730297 56.4386842105263 309.061052631579 0 1
730298 75.4834210526316 246.567105263158 0 1
730301 55.0155263157895 389.711315789474 0 1
730303 62.795 290.817368421053 0 1
730308 60.8845945945946 363.798918918919 1 0
730311 57.0733333333333 425.926388888889 1 0
730312 52.7183333333333 381.579722222222 0 1
730315 45.4725 357.462352941177 0 1
730316 78.282 154.371111111111 0 1
730318 68.6391666666667 302.806111111111 0 1
730322 72.1244117647059 220.093142857143 0 1
730331 52.0091176470588 385.919117647059 1 0
